Número da Issue,ID,Quant. comentários,Título
137,MDU6SXNzdWUxMTYzMjUxMjQ=,0,bazel always re-downloaded the dependency libraries
151,MDU6SXNzdWUxMTY0MjQzMTU=,0,Typo in reshape documentation
181,MDU6SXNzdWUxMTY2MTI2NzU=,0,Typo in tf.Graph.name_scope(name) docs
228,MDU6SXNzdWUxMTY5ODQ0MDg=,0,AttributeError in Tensor
355,MDU6SXNzdWUxMTg5NDY0NDA=,0,The first name of Franoise Beaufays is misspelled in whitepaper2015.pdf
357,MDU6SXNzdWUxMTg5NjEwNDg=,0,reduce_sum (complex) on GPU segfaults
460,MDU6SXNzdWUxMjEzNjM4MjA=,0,"Make a helpful python Tensor __repr__ that describes type, shape, etc."
488,MDU6SXNzdWUxMjE4MzYxNDA=,0,when i install i got this error
522,MDU6SXNzdWUxMjI0MTE5NjQ=,0,mmist failure when running with gpu on EC2
549,MDU6SXNzdWUxMjI5Njk2Mzk=,0,Add a function unsorted_segment_max
553,MDU6SXNzdWUxMjMwNjMxODg=,0,python: g != graph
579,MDU6SXNzdWUxMjMyNzA4ODc=,0,Requesting issue reopening
668,MDU6SXNzdWUxMjQ2MTA1NTA=,0,Issue from executing zipalign_runner
744,MDU6SXNzdWUxMjU5NzAwMDE=,0,`tf.zeros_like()` and `tf.ones_like()` do not preserve partial shape information
806,MDU6SXNzdWUxMjczNTIxMjE=,0,google-tensorflow
1001,MDU6SXNzdWUxMzE2NjQyMTg=,0,tf.image.resize_images() does not work with computed height and width
1187,MDU6SXNzdWUxMzQ3OTM4Njc=,0,Build fail: hd_warning_disable.h broken link
1284,MDU6SXNzdWUxMzY0NDI0Njg=,0,Clarify Udacity assignment #2
1438,MDU6SXNzdWUxMzk0MjE4MjU=,0,Tensorflow missing symbol in compilation
1522,MDU6SXNzdWUxNDExODI1MDE=,0,closing file object in read_data() function for word2vec tutorials
1587,MDU6SXNzdWUxNDI4MjAwNDg=,0,TensorBoard doesn't handle ~ in paths properly
1595,MDU6SXNzdWUxNDI5MjIyNjA=,0,using tensor as bool in cifar10 example
1675,MDU6SXNzdWUxNDM5NDg3MzU=,0,ImportError libcudart.so.7.5 in Pycharm console not in Terminal python console
1723,MDU6SXNzdWUxNDQ5MTgwNjY=,0,"tf.concat(tensorA, tensorB) should throw an error"
1756,MDU6SXNzdWUxNDU1MzI0MTc=,0,Ran out of memory trying to allocate.....
1783,MDU6SXNzdWUxNDYwNzg0NDA=,0,feature request: complex64 support in diag op
1811,MDU6SXNzdWUxNDY2NjkzNzg=,0,Python 3 not installing in virtual environment
1853,MDU6SXNzdWUxNDc1MDEwMDM=,0,shuffle_batch gives ZeroDivisionError when computing capacity stat
2029,MDU6SXNzdWUxNDk2MzMyMjc=,0,question about LSTM cell state size
2044,MDU6SXNzdWUxNDk5Mzg0NjQ=,0,inception
2051,MDU6SXNzdWUxNTAxNDY1NjA=,0,"Document the type of ""feed_dict"" values"
2056,MDU6SXNzdWUxNTAxODc4NzY=,0,"error with ""import tensorflow; print(tensorflow.__version__)"""
2060,MDU6SXNzdWUxNTAyNzU3NTM=,0,ResourceExhaustedError: When using VGG16 model architecture and training on own images
2133,MDU6SXNzdWUxNTE0MzkwNjQ=,0,Both logs of single- and multi-GPU training are same in the CNN tutorial
2243,MDU6SXNzdWUxNTMzNTU1NTU=,0,Error when building on Mac with GPU
2371,MDU6SXNzdWUxNTQ5MDAzMjY=,0,C++ API header files missing from pip install
2393,MDU6SXNzdWUxNTUxMTIxMzk=,0,Update FAQ
2447,MDU6SXNzdWUxNTYwNzUxNDU=,0,TensorFlow segfaults on attempting to save a large variable
2470,MDU6SXNzdWUxNTYyMDQwOTM=,0,per_process_gpu_memory_fraction didn'
2517,MDU6SXNzdWUxNTcwMzg2NzE=,0,d
2522,MDU6SXNzdWUxNTcwNzgxNzU=,0,Install instructions for OS X GPU
2523,MDU6SXNzdWUxNTcwOTEyMjA=,0,Incorrect error message
2549,MDU6SXNzdWUxNTczMTk0ODI=,0,[install problems] Failed to setup for development from the latest source(2016.5.28).
2772,MDU6SXNzdWUxNTk1NDE2MzA=,0,Please consider adding flatten
2782,MDU6SXNzdWUxNTk2MzI3ODk=,0,cannot assign
2808,MDU6SXNzdWUxNTk3ODc4OTk=,0,CLOSED Discard PR
2858,MDU6SXNzdWUxNjAyNDY1Nzc=,0,[install problem] Tensorflow with Anaconda on Ubuntu
2873,MDU6SXNzdWUxNjAzMTg2NjA=,0,Perform CUDA autoconfiguration in Skylark
2906,MDU6SXNzdWUxNjA3MDQ5NjQ=,0,cond
2907,MDU6SXNzdWUxNjA3MDQ5Njc=,0,cond
